service_request_id,requested_date,status_description,service_name,comm_name,address,longitude,latitude
26-00652093,2026-08-27,Open,Roads - Signs - Missing - Damaged,INGLEWOOD,,-114.01912581291118,51.03414052413669
26-00655515,2026-08-27,Open,Roads - Signs - Missing - Damaged,CORNERSTONE,,-113.9305705256274,51.15735996767518
26-00652193,2026-08-27,Open,Roads - Signs - Missing - Damaged,MAYLAND HEIGHTS,,-114.01331127596195,51.06083218163849
26-00654913,2026-08-27,Open,Roads - Signs - Traffic and Roadmarking,HOTCHKISS,,-113.89624948761448,50.91419352023465
26-00654178,2026-08-27,Open,Roads - Signs - Missing - Damaged,HORIZON,,-113.99169523733028,51.08990020616713
26-00654670,2026-08-27,Open,Roads - Signs - Missing - Damaged,SOUTH CALGARY,,-114.10207470149076,51.02680215199665
26-00655522,2026-08-27,Open,Roads - Signs - Traffic and Roadmarking,TUSCANY,,-114.2408862053562,51.12191108825487
26-00654031,2026-08-27,Open,Roads - Signs - Missing - Damaged,DOWNTOWN COMMERCIAL CORE,,-114.06959371115344,51.0472744358498
26-00652022,2026-08-27,Closed,Roads - Signs - Missing - Damaged,MCKENZIE TOWNE,,-113.96135301049588,50.91714876195852
26-00654601,2026-08-27,Open,Roads - Signs - Traffic and Roadmarking,MILLRISE,,-114.08491413864552,50.91705536774364
26-00655235,2026-08-27,Open,Roads - Signs - Missing - Damaged,COUNTRY HILLS,,-114.07989394832668,51.14377568374259
26-00654436,2026-08-27,Open,Roads - Signs - Missing - Damaged,SOUTHWOOD,,-114.08319427981304,50.957758808343314
26-00655543,2026-08-27,Open,Roads - Signs - Traffic and Roadmarking,LEGACY,,-114.00597971885598,50.85760046185492
26-00654421,2026-08-27,Open,Roads - Signs - Missing - Damaged,SOUTHWOOD,,-114.08319427981304,50.957758808343314
26-00652711,2026-08-27,Open,Roads - Signs - Missing - Damaged,09P,,-113.8887647551224,51.02686663627315
26-00655098,2026-08-27,Open,Roads - Signs - Missing - Damaged,RICARDO RANCH,,-113.9359132306416,50.85446381088668
26-00655074,2026-08-27,Open,Roads - Signs - Missing - Damaged,SHAGANAPPI,,-114.1266528552515,51.04521146641257
26-00654739,2026-08-27,Open,Roads - Signs - Traffic and Roadmarking,MEADOWLARK PARK,,-114.07735167071785,50.99785784458241
26-00654251,2026-08-27,Open,Roads - Signs - Parking,VARSITY,,-114.162506759502,51.09605377080581
26-00655090,2026-08-27,Open,Roads - Signs - Parking,HASKAYNE,,-114.28669528468198,51.11697203676882
26-00654315,2026-08-27,Open,Roads - Signs - Parking,MCKENZIE LAKE,,-113.9881871837774,50.91486638419278
