permitnum,address,category,description,statuscurrent,applieddate,decisiondate,communityname,ward,quadrant,latitude,longitude,srg,sector
DP2026-00427,710 BURNS AV SE,Residential - Multi-Family,"NEW: SEMI-DETACHED DWELLING (2 BUILDINGS), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (2 GARAGES)",Under Review,2026-01-26T00:00:00.000,,RAMSAY,9.0,SE,51.035,-114.044,ESTABLISHED,CENTRE
DP2026-00421,1711 14 AV NE,Residential - Multi-Family - Minor and Rowhouses,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-01-26T00:00:00.000,2026-07-08T00:00:00.000,MAYLAND HEIGHTS,10.0,NE,51.065,-114.021,ESTABLISHED,NORTHEAST
DP2026-00420,611 POPLAR RD SW,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), SECONDARY SUITES, ACCESSORY RESIDENTIAL BUILDING (CARPORT)",Hold,2026-01-26T00:00:00.000,,SPRUCE CLIFF,6.0,SW,51.047,-114.137,ESTABLISHED,WEST
DP2026-00418,8635 47 AV NW,Residential - Multi-Family - Minor and Rowhouses,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-01-26T00:00:00.000,2026-05-14T00:00:00.000,BOWNESS,1.0,NW,51.095,-114.213,ESTABLISHED,NORTHWEST
DP2026-00443,77 MARTHA'S PL NE,Residential - Secondary Suite,"NEW: ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",In Circulation,2026-01-27T00:00:00.000,,MARTINDALE,5.0,NE,51.12,-113.962,ESTABLISHED,NORTHEAST
DP2026-00493,3502 14 AV SE,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-01-28T00:00:00.000,2026-07-31T00:00:00.000,ALBERT PARK/RADISSON HEIGHTS,9.0,SE,51.041,-113.984,ESTABLISHED,EAST
DP2026-00488,488 NORTHMOUNT DR NW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (3 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Circulation,2026-01-28T00:00:00.000,,HIGHWOOD,4.0,NW,51.091,-114.083,ESTABLISHED,CENTRE
DP2026-00485,1928 49 AV SW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING (EAST PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-01-28T00:00:00.000,2026-05-18T00:00:00.000,ALTADORE,8.0,SW,51.01,-114.105,ESTABLISHED,CENTRE
DP2026-00477,539 15 AV NE,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (CARPORT)",In Circulation,2026-01-28T00:00:00.000,,RENFREW,9.0,NE,51.066,-114.051,ESTABLISHED,CENTRE
DP2026-00474,516 40 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Hold,2026-01-28T00:00:00.000,,HIGHWOOD,4.0,NW,51.088,-114.073,ESTABLISHED,CENTRE
DP2026-00468,901 42 ST SE,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SEMI-DETACHED DWELLING (1 BUILDING), SECONDARY SUITE (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Circulation,2026-01-28T00:00:00.000,,FOREST LAWN,9.0,SE,51.045,-113.973,ESTABLISHED,EAST
DP2026-00525,4311 30 AV SW,Residential - New Single / Semi / Duplex,"REVISION: SEMI-DETACHED DWELLING, ROWHOUSE BUILDING (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE) (CHANGES TO DP2023-05583)",Pending Release,2026-01-29T00:00:00.000,2026-03-17T00:00:00.000,GLENBROOK,6.0,SW,51.027,-114.149,ESTABLISHED,WEST
DP2026-00502,2821 15 AV SE,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (2 BUILDINGS), SECONDARY SUITE (6 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Hold,2026-01-29T00:00:00.000,,ALBERT PARK/RADISSON HEIGHTS,9.0,SE,51.039,-113.994,ESTABLISHED,EAST
DP2026-00535,610 38 ST SW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING (SOUTH PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-01-30T00:00:00.000,2026-05-04T00:00:00.000,SPRUCE CLIFF,6.0,SW,51.047,-114.143,ESTABLISHED,WEST
DP2026-00555,304 11 ST NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2026-02-01T00:00:00.000,2026-06-30T00:00:00.000,HILLHURST,7.0,NW,51.054,-114.089,ESTABLISHED,CENTRE
DP2026-00553,606 38 ST SW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING (NORTH PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-01T00:00:00.000,2026-05-05T00:00:00.000,SPRUCE CLIFF,6.0,SW,51.048,-114.143,ESTABLISHED,WEST
DP2026-00576,3214 23 AV SW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-02T00:00:00.000,2026-05-20T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.033,-114.133,ESTABLISHED,CENTRE
DP2026-00570,2 TAMARAC CR SW,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), SECONDARY SUITES (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-02T00:00:00.000,2026-06-25T00:00:00.000,SPRUCE CLIFF,6.0,SW,51.048,-114.137,ESTABLISHED,WEST
DP2026-00561,1230 CENTRE AV NE,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (3 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-02T00:00:00.000,2026-04-29T00:00:00.000,BRIDGELAND/RIVERSIDE,9.0,NE,51.052,-114.036,ESTABLISHED,CENTRE
DP2026-00622,28 SLOPES GV SW,Residential - New Single / Semi / Duplex,NEW: SINGLE-DETACHED DWELLING,Hold,2026-02-03T00:00:00.000,,SPRINGBANK HILL,6.0,SW,51.032,-114.227,DEVELOPING,WEST
DP2026-00616,1932 45 ST SW,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Hold,2026-02-03T00:00:00.000,,GLENDALE,6.0,SW,51.036,-114.153,ESTABLISHED,WEST
DP2026-00608,2601 27 ST SW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-03T00:00:00.000,2026-07-31T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.031,-114.127,ESTABLISHED,CENTRE
DP2026-00592,1421 6 ST NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2026-02-03T00:00:00.000,2026-04-02T00:00:00.000,ROSEDALE,7.0,NW,51.065,-114.076,ESTABLISHED,CENTRE
DP2026-00641,3811 CENTRE A ST NE,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-04T00:00:00.000,2026-07-29T00:00:00.000,HIGHLAND PARK,4.0,NE,51.086,-114.061,ESTABLISHED,CENTRE
DP2026-00627,1120 FRONTENAC AV SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,In Advertising,2026-02-04T00:00:00.000,2026-08-06T00:00:00.000,UPPER MOUNT ROYAL,8.0,SW,51.029,-114.087,ESTABLISHED,CENTRE
DP2026-00625,8620 46 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-04T00:00:00.000,2026-05-13T00:00:00.000,BOWNESS,1.0,NW,51.094,-114.212,ESTABLISHED,NORTHWEST
DP2026-00703,7608 34 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-09T00:00:00.000,2026-06-24T00:00:00.000,BOWNESS,1.0,NW,51.084,-114.197,ESTABLISHED,NORTHWEST
DP2026-00700,2608 24 ST SW,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-09T00:00:00.000,2026-05-08T00:00:00.000,RICHMOND,8.0,SW,51.032,-114.118,ESTABLISHED,CENTRE
DP2026-00690,125 ROYSTON GV NW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (16 PHASES, 16 BUILDINGS)",Hold,2026-02-09T00:00:00.000,,HASKAYNE,1.0,NW,51.111,-114.28,DEVELOPING,NORTHWEST
DP2026-00724,3833 6 ST SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2026-02-10T00:00:00.000,2026-06-26T00:00:00.000,ELBOW PARK,8.0,SW,51.02,-114.079,ESTABLISHED,CENTRE
DP2026-00717,75 HOLLAND ST NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2026-02-10T00:00:00.000,2026-05-06T00:00:00.000,HIGHWOOD,4.0,NW,51.094,-114.086,ESTABLISHED,CENTRE
DP2026-00711,3609 1A ST SW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING (MIDDLE PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-10T00:00:00.000,2026-07-13T00:00:00.000,PARKHILL,8.0,SW,51.023,-114.067,ESTABLISHED,CENTRE
DP2026-00710,3615 1A ST SW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING (SOUTH PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-10T00:00:00.000,2026-04-16T00:00:00.000,PARKHILL,8.0,SW,51.023,-114.067,ESTABLISHED,CENTRE
DP2026-00709,608 23 ST NW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING(1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING(GARAGE)",Pending Release,2026-02-10T00:00:00.000,2026-07-23T00:00:00.000,WEST HILLHURST,7.0,NW,51.058,-114.115,ESTABLISHED,CENTRE
DP2026-00753,2411 CRESTWOOD RD SE,Residential - Secondary Suite,"NEW: ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",Pending Release,2026-02-11T00:00:00.000,2026-04-08T00:00:00.000,OGDEN,9.0,SE,50.991,-114.003,ESTABLISHED,SOUTHEAST
DP2026-00745,7827 33 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (6 SUITES)",Pending Release,2026-02-11T00:00:00.000,2026-07-28T00:00:00.000,BOWNESS,1.0,NW,51.084,-114.201,ESTABLISHED,NORTHWEST
DP2026-00738,7331 KEEWATIN ST SW,Residential - Multi-Family - Minor and Rowhouses,"NEW: DWELLING UNIT (1 BUILDING), SECONDARY SUITES (4 SUITES)",Pending Release,2026-02-11T00:00:00.000,2026-07-09T00:00:00.000,KELVIN GROVE,11.0,SW,50.988,-114.084,ESTABLISHED,SOUTH
DP2026-00734,1512 CHILD AV NE,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,In Advertising,2026-02-11T00:00:00.000,2026-08-04T00:00:00.000,RENFREW,9.0,NE,51.053,-114.029,ESTABLISHED,CENTRE
DP2026-00773,2525 EVERSYDE AV SW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (8 PHASES, 7 BUILDINGS), ACCESSORY RESIDENTIAL BUILDING (AMENITY BUILDING)",In Advertising,2026-02-12T00:00:00.000,2026-08-19T00:00:00.000,EVERGREEN,13.0,SW,50.908,-114.12,ESTABLISHED,SOUTH
DP2026-00770,1533 29 AV SW,Residential - New Single / Semi / Duplex,NEW: SEMI-DETACHED DWELLING,Pending Release,2026-02-12T00:00:00.000,2026-05-24T00:00:00.000,SOUTH CALGARY,8.0,SW,51.028,-114.097,ESTABLISHED,CENTRE
DP2026-00769,2204 25 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (2 GARAGES)",Pending Release,2026-02-12T00:00:00.000,2026-06-24T00:00:00.000,BANFF TRAIL,7.0,NW,51.075,-114.111,ESTABLISHED,CENTRE
DP2026-00767,3012 30 AV SE,Residential - Multi-Family,NEW: ROWHOUSE BUILDING (1 BUILDING),Hold,2026-02-12T00:00:00.000,,DOVER,9.0,SE,51.027,-113.99,ESTABLISHED,EAST
DP2026-00765,2810 9 AV SE,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-12T00:00:00.000,2026-05-13T00:00:00.000,ALBERT PARK/RADISSON HEIGHTS,9.0,SE,51.045,-113.995,ESTABLISHED,EAST
DP2026-00787,8018 48 AV NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2026-02-13T00:00:00.000,2026-07-13T00:00:00.000,BOWNESS,1.0,NW,51.096,-114.202,ESTABLISHED,NORTHWEST
DP2026-00784,1028 CENTRE AV NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (2 BUILDINGS),Hold,2026-02-13T00:00:00.000,,BRIDGELAND/RIVERSIDE,9.0,NE,51.053,-114.038,ESTABLISHED,CENTRE
DP2026-00835,4064 WORCESTER DR SW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-17T00:00:00.000,2026-07-17T00:00:00.000,WILDWOOD,6.0,SW,51.047,-114.147,ESTABLISHED,WEST
DP2026-00834,2419 26 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Hold,2026-02-17T00:00:00.000,,BANFF TRAIL,7.0,NW,51.076,-114.117,ESTABLISHED,CENTRE
DP2026-00833,2016 20 AV NW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-17T00:00:00.000,2026-04-30T00:00:00.000,BANFF TRAIL,7.0,NW,51.071,-114.107,ESTABLISHED,CENTRE
DP2026-00830,514 30 ST NW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT)",Hold,2026-02-17T00:00:00.000,,PARKDALE,7.0,NW,51.056,-114.131,ESTABLISHED,CENTRE
DP2026-00825,1906 WESTMOUNT RD NW,Residential - New Single / Semi / Duplex,"NEW: SEMI DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2), BACKYARD SUITE",Hold,2026-02-17T00:00:00.000,,WEST HILLHURST,7.0,NW,51.052,-114.104,ESTABLISHED,CENTRE
DP2026-00822,4708 16 ST SW,Residential - New Single / Semi / Duplex,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING (EAST PARCEL), SECONDARY SUITE (BASEMENT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-17T00:00:00.000,2026-06-26T00:00:00.000,ALTADORE,8.0,SW,51.012,-114.1,ESTABLISHED,CENTRE
DP2026-00816,28 HEIRLOOM ST SE,Residential - Multi-Family,NEW:  DWELLING UNITS (1 BUILDING),Pending Release,2026-02-17T00:00:00.000,2026-07-23T00:00:00.000,RANGEVIEW,12.0,SE,50.883,-113.924,DEVELOPING,SOUTHEAST
DP2026-00858,4415 EDMONTON TR NE,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING); SECONDARY SUITES (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Hold,2026-02-18T00:00:00.000,,GREENVIEW,4.0,NE,51.092,-114.053,ESTABLISHED,CENTRE
DP2026-00856,1501 23 AV NW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Hold,2026-02-18T00:00:00.000,,CAPITOL HILL,7.0,NW,51.073,-114.095,ESTABLISHED,CENTRE
DP2026-00846,8039 36 AV NW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-18T00:00:00.000,2026-04-20T00:00:00.000,BOWNESS,1.0,NW,51.088,-114.204,ESTABLISHED,NORTHWEST
DP2026-00883,3420 2 ST NE,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING(1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING(GARAGE)",Pending Release,2026-02-19T00:00:00.000,2026-07-02T00:00:00.000,HIGHLAND PARK,4.0,NE,51.083,-114.057,ESTABLISHED,CENTRE
DP2026-00879,1512 CHILD AV NE,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,In Advertising,2026-02-19T00:00:00.000,2026-08-04T00:00:00.000,RENFREW,9.0,NE,51.053,-114.029,ESTABLISHED,CENTRE
DP2026-00875,5220 80 AV NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (2 BUILDINGS),Hold,2026-02-19T00:00:00.000,,SADDLE RIDGE,5.0,NE,51.125,-113.959,DEVELOPING,NORTHEAST
DP2026-00872,2001 37 ST SE,Residential - Multi-Family,"NEW: DWELLING UNITS (2 BUILDINGS), SECONDARY SUITES",Hold,2026-02-19T00:00:00.000,,FOREST LAWN,9.0,SE,51.036,-113.98,ESTABLISHED,EAST
DP2026-00868,2823 30 ST SW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING (SOUTH PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-19T00:00:00.000,2026-07-17T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.029,-114.131,ESTABLISHED,CENTRE
DP2026-00917,1323 10 AV SE,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Advertising,2026-02-20T00:00:00.000,2026-08-17T00:00:00.000,INGLEWOOD,9.0,SE,51.04,-114.034,ESTABLISHED,CENTRE
DP2026-00909,640 15 AV NE,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-20T00:00:00.000,2026-04-29T00:00:00.000,RENFREW,9.0,NE,51.066,-114.049,ESTABLISHED,CENTRE
DP2026-00891,2050 CORNERSTONE BV NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (4 BUILDINGS),Hold,2026-02-20T00:00:00.000,,CORNERSTONE,5.0,NE,51.173,-113.93,DEVELOPING,NORTHEAST
DP2026-00932,1732 23 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING(GARAGE)",Hold,2026-02-21T00:00:00.000,,CAPITOL HILL,7.0,NW,51.073,-114.101,ESTABLISHED,CENTRE
DP2026-00931,1420 44 ST SW,Residential - Multi-Family,"NEW: TOWNHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING(GARAGE)",Pending Release,2026-02-21T00:00:00.000,2026-06-08T00:00:00.000,ROSSCARROCK,8.0,SW,51.041,-114.151,ESTABLISHED,WEST
DP2026-00921,5415 5 ST SW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Hold,2026-02-21T00:00:00.000,,WINDSOR PARK,11.0,SW,51.006,-114.077,ESTABLISHED,CENTRE
DP2026-00920,1636 50 AV SW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SEMI-DETACHED DWELLING, SECONDARY SUITE (5 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE, BICYCLE STORAGE)",Hold,2026-02-21T00:00:00.000,,ALTADORE,8.0,SW,51.009,-114.1,ESTABLISHED,CENTRE
DP2026-00947,9427 PALLISER PL SW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES)",Hold,2026-02-22T00:00:00.000,,PALLISER,11.0,SW,50.97,-114.117,ESTABLISHED,SOUTH
DP2026-00945,8543 BOWNESS RD NW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (2 BUILDINGS), SECONDARY SUITE (5 SUITES)",Hold,2026-02-22T00:00:00.000,,BOWNESS,1.0,NW,51.091,-114.21,ESTABLISHED,NORTHWEST
DP2026-00939,7111 14 AV SW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT - MINOR (1 BUILDING),Hold,2026-02-22T00:00:00.000,,ASPEN WOODS,6.0,SW,51.045,-114.19,DEVELOPING,WEST
DP2026-00936,907 17A ST NE,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-22T00:00:00.000,2026-06-11T00:00:00.000,MAYLAND HEIGHTS,10.0,NE,51.06,-114.018,ESTABLISHED,NORTHEAST
DP2026-00986,48 HERRON RI NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT - MINOR (10 BUILDINGS),In Circulation,2026-02-23T00:00:00.000,,LIVINGSTON,3.0,NE,51.188,-114.051,DEVELOPING,NORTH
DP2026-00983,2102 21 AV SW,Residential - Multi-Family,NEW: DWELLING UNITS (2 BUILDINGS); SECONDARY SUITES (2 SUITES),Hold,2026-02-23T00:00:00.000,,RICHMOND,8.0,SW,51.035,-114.109,ESTABLISHED,CENTRE
DP2026-00977,2222 27 AV SW,Residential - Secondary Suite,"NEW: ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",Hold,2026-02-23T00:00:00.000,,RICHMOND,8.0,SW,51.03,-114.113,ESTABLISHED,CENTRE
DP2026-00969,4719 26 AV NE,Residential - Secondary Suite,"NEW: ACCESSORY RESIDENTIAL BUILDING (GARAGE), BACKYARD SUITE (ABOVE GARAGE)",Pending Release,2026-02-23T00:00:00.000,2026-07-31T00:00:00.000,RUNDLE,10.0,NE,51.078,-113.967,ESTABLISHED,NORTHEAST
DP2026-00967,2009 50 AV SW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), TOWNHOUSE (1 BUILDING), SECONDARY SUITE (6 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Circulation,2026-02-23T00:00:00.000,,NORTH GLENMORE PARK,11.0,SW,51.009,-114.107,ESTABLISHED,WEST
DP2026-00966,3810 2 ST NW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-23T00:00:00.000,2026-07-13T00:00:00.000,HIGHLAND PARK,4.0,NW,51.086,-114.066,ESTABLISHED,CENTRE
DP2026-00965,145 WASKATENAU CR SW,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (DETACHED GARAGE)",Pending Release,2026-02-23T00:00:00.000,2026-07-30T00:00:00.000,WESTGATE,6.0,SW,51.039,-114.157,ESTABLISHED,WEST
DP2026-00994,2358 CAPITOL HILL CR NW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Hold,2026-02-24T00:00:00.000,,BANFF TRAIL,7.0,NW,51.071,-114.115,ESTABLISHED,CENTRE
DP2026-01037,213 21 AV NE,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES)",Hold,2026-02-25T00:00:00.000,,TUXEDO PARK,7.0,NE,51.071,-114.059,ESTABLISHED,CENTRE
DP2026-01025,724 35A ST NW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE) ",Pending Release,2026-02-25T00:00:00.000,2026-05-08T00:00:00.000,PARKDALE,7.0,NW,51.062,-114.138,ESTABLISHED,CENTRE
DP2026-01022,3832 CENTRE ST NE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING), SECONDARY SUITE (3 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Hold,2026-02-25T00:00:00.000,,HIGHLAND PARK,4.0,NE,51.087,-114.062,ESTABLISHED,CENTRE
DP2026-01058,726 69 AV SW,Residential - Multi-Family,"NEW: DWELLING UNIT (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-02-26T00:00:00.000,2026-08-05T00:00:00.000,KINGSLAND,11.0,SW,50.992,-114.078,ESTABLISHED,SOUTH
DP2026-01052,22200 28 ST SE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (11 PHASES, 9 BUILDINGS), ACCESSORY RESIDENTIAL BUILDINGS (GARAGES - 2)",Pending Release,2026-02-26T00:00:00.000,2026-07-21T00:00:00.000,LEGACY,14.0,SE,50.851,-113.997,DEVELOPING,SOUTH
DP2026-01094,302 SAVANNA CR NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (3 BUILDINGS),Hold,2026-02-27T00:00:00.000,,SADDLE RIDGE,5.0,NE,51.136,-113.949,DEVELOPING,NORTHEAST
DP2026-01126,907 17 ST NE,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING (NORTH LOT), SECONDARY SUITE (BASEMENT -2), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2026-03-02T00:00:00.000,2026-07-20T00:00:00.000,MAYLAND HEIGHTS,10.0,NE,51.06,-114.019,ESTABLISHED,NORTHEAST
