permitnum,address,category,description,statuscurrent,applieddate,decisiondate,communityname,ward,quadrant,latitude,longitude,srg,sector
DP2024-05148,8772 48 ST NE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (3 BUILDINGS, 3 PHASES)",Pending Release,2024-07-11T00:00:00.000,2025-02-10T00:00:00.000,SADDLE RIDGE,5.0,NE,51.131,-113.962,DEVELOPING,NORTHEAST
DP2024-05139,1824 25 AV NW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2024-07-11T00:00:00.000,2025-01-10T00:00:00.000,CAPITOL HILL,7.0,NW,51.076,-114.104,ESTABLISHED,CENTRE
DP2024-05137,200 SAGE HILL RI NW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (4 PHASES, 18 BUILDINGS)",Pending Release,2024-07-11T00:00:00.000,2025-10-14T00:00:00.000,SAGE HILL,2.0,NW,51.174,-114.137,DEVELOPING,NORTH
DP2024-05192,1436 28 ST SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2)",Pending Release,2024-07-13T00:00:00.000,2025-03-03T00:00:00.000,SHAGANAPPI,8.0,SW,51.04,-114.128,ESTABLISHED,CENTRE
DP2024-05205,10610 18 ST SE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (3 BUILDINGS),Pending Release,2024-07-15T00:00:00.000,2024-11-18T00:00:00.000,DOUGLASDALE/GLEN,11.0,SE,50.959,-114.002,ESTABLISHED,SOUTHEAST
DP2024-05258,2034 KENSINGTON RD NW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (2 BUILDINGS), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2024-07-16T00:00:00.000,2025-08-19T00:00:00.000,WEST HILLHURST,7.0,NW,51.053,-114.107,ESTABLISHED,CENTRE
DP2024-05278,4707 17 AV NW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING), SECONDARY SUITE (5 SUITES)",Pending Release,2024-07-17T00:00:00.000,2025-04-03T00:00:00.000,MONTGOMERY,7.0,NW,51.073,-114.162,ESTABLISHED,NORTHWEST
DP2024-05269,420 MEREDITH RD NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Pending Release,2024-07-17T00:00:00.000,2026-04-07T00:00:00.000,CRESCENT HEIGHTS,7.0,NE,51.052,-114.053,ESTABLISHED,CENTRE
DP2024-05289,11027 BRADBURY DR SW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2024-07-18T00:00:00.000,2025-03-28T00:00:00.000,BRAESIDE,11.0,SW,50.955,-114.099,ESTABLISHED,SOUTH
DP2024-05286,5819 BOWWATER CR NW,Residential - Contextual Dwelling,"NEW: SINGLE DETACHED DWELLING (FLOOD FRINGE), BACKYARD SUITE (ABOVE GARAGE, LOCATED IN FLOOD FRINGE), ACCESSORY RESIDENTIAL BUILDING (GARAGE, LOCATED IN FLOOD FRINGE)",Pending Release,2024-07-18T00:00:00.000,2025-01-31T00:00:00.000,BOWNESS,1.0,NW,51.082,-114.172,ESTABLISHED,NORTHWEST
DP2024-05348,1910 ALEXANDER ST SE,Residential - Multi-Family,"NEW: TOWNHOUSE (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2024-07-21T00:00:00.000,2025-08-29T00:00:00.000,RAMSAY,9.0,SE,51.036,-114.043,ESTABLISHED,CENTRE
DP2024-05381,822 MCDOUGALL RD NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (NEW: MULTI-RESIDENTIAL DEVELOPMENT),Hold,2024-07-22T00:00:00.000,,BRIDGELAND/RIVERSIDE,9.0,NE,51.051,-114.044,ESTABLISHED,CENTRE
