sample_site,site_key,sample_date,parameter,numeric_result,result_units,result_qualifier,latitude_degrees,longitude_degrees
Elbow River Above Bragg Creek,SUR_ER-BC,2022-06-20 09:30:00,Turbidity,100.0,NTU,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-06-20 09:30:00,pH,8.2,pH units,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-06-20 09:30:00,Nitrate (NO3-N),0.154,mg/L,,50.943802,-114.58
Elbow River Highway 22 Bridge,SUR_ER-22,2022-06-20 09:54:00,Nitrate (NO3-N),0.148,mg/L,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-06-20 09:54:00,pH,8.2,pH units,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-06-20 09:54:00,Turbidity,120.0,NTU,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-06-20 09:54:00,Dissolved Oxygen (Field),11.23,mg/L,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-06-20 09:54:00,Water Temperature (Field),7.3,°C,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-06-20 09:54:00,E.coli,8.5,MPN/100mL,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-06-20 09:54:00,Total Phosphorus (TP),0.083,mg/L,,51.032926,-114.465745
Elbow River Twin Bridges,SUR_ER-TB,2022-06-20 10:26:00,pH,8.2,pH units,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-06-20 10:26:00,Nitrate (NO3-N),0.148,mg/L,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-06-20 10:26:00,Turbidity,150.0,NTU,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-06-20 10:26:00,Dissolved Oxygen (Field),10.57,mg/L,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-06-20 10:26:00,Water Temperature (Field),8.6,°C,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-06-20 10:26:00,E.coli,22.1,MPN/100mL,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-06-20 10:26:00,Total Phosphorus (TP),0.122,mg/L,,51.01358,-114.23731
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-06-21 09:22:00,Water Temperature (Field),8.4,°C,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-06-21 09:22:00,Dissolved Oxygen (Field),10.52,mg/L,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-06-21 09:22:00,Turbidity,90.0,NTU,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-06-21 09:22:00,pH,8.2,pH units,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-06-21 09:22:00,Nitrate (NO3-N),0.15,mg/L,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-06-21 09:22:00,Total Phosphorus (TP),0.088,mg/L,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-06-21 09:22:00,E.coli,29.9,MPN/100mL,,50.991517,-114.146769
Elbow River Sandy Beach,SUR_ER-SYB,2022-06-21 10:18:00,pH,8.2,pH units,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-06-21 10:18:00,E.coli,27.9,MPN/100mL,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-06-21 10:18:00,Turbidity,81.0,NTU,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-06-21 10:18:00,Total Phosphorus (TP),0.051,mg/L,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-06-21 10:18:00,Dissolved Oxygen (Field),9.23,mg/L,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-06-21 10:18:00,Water Temperature (Field),11.7,°C,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-06-21 10:18:00,Nitrate (NO3-N),0.153,mg/L,,51.010237,-114.088008
Elbow River Stanley Park,SUR_ER-SP,2022-06-21 10:46:00,Total Phosphorus (TP),0.052,mg/L,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-06-21 10:46:00,Water Temperature (Field),12.0,°C,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-06-21 10:46:00,Dissolved Oxygen (Field),9.1,mg/L,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-06-21 10:46:00,Nitrate (NO3-N),0.165,mg/L,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-06-21 10:46:00,pH,8.2,pH units,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-06-21 10:46:00,Turbidity,80.0,NTU,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-06-21 10:46:00,E.coli,36.4,MPN/100mL,,51.018486,-114.070146
Elbow River 9th Ave Bridge,SUR_ER-9,2022-06-21 11:19:00,Turbidity,89.0,NTU,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-06-21 11:19:00,Total Phosphorus (TP),0.078,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-06-21 11:19:00,pH,8.2,pH units,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-06-21 11:19:00,Dissolved Oxygen (Field),8.7,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-06-21 11:19:00,Water Temperature (Field),12.3,°C,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-06-21 11:19:00,Nitrate (NO3-N),0.196,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-06-21 11:19:00,E.coli,325.5,MPN/100mL,,51.044635,-114.042189
Elbow River Stanley Park,SUR_ER-SP,2022-07-05 07:59:00,E.coli,33.6,MPN/100mL,,51.018486,-114.070146
Bow River Below Ghost Dam,SUR_BR-GD,2022-07-11 10:27:00,Dissolved Oxygen (Field),10.51,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-07-11 10:27:00,Water Temperature (Field),11.7,°C,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-07-11 10:27:00,pH,8.3,pH units,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-07-11 10:27:00,Nitrate (NO3-N),0.103,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-07-11 10:27:00,Turbidity,6.5,NTU,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-07-11 10:27:00,E.coli,1.0,MPN/100mL,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-07-11 10:27:00,Total Phosphorus (TP),0.006,mg/L,,51.22053,-114.70511
Bow River Highway 22 Bridge,SUR_BR-22,2022-07-11 10:55:00,pH,8.3,pH units,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-07-11 10:55:00,Turbidity,7.3,NTU,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-07-11 10:55:00,Nitrate (NO3-N),0.104,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-07-11 10:55:00,Dissolved Oxygen (Field),10.27,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-07-11 10:55:00,Total Phosphorus (TP),0.008,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-07-11 10:55:00,Water Temperature (Field),12.5,°C,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-07-11 10:55:00,E.coli,12.1,MPN/100mL,,51.18297,-114.48733
Bow River Cushing Bridge,SUR_BR-CB,2022-07-12 08:10:00,pH,8.3,pH units,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-07-12 08:10:00,Nitrate (NO3-N),0.095,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-07-12 08:10:00,Dissolved Oxygen (Field),9.68,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-07-12 08:10:00,Water Temperature (Field),14.3,°C,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-07-12 08:10:00,Total Phosphorus (TP),0.009,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-07-12 08:10:00,E.coli,17.5,MPN/100mL,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-07-12 08:10:00,Turbidity,5.6,NTU,,51.03857,-114.012943
Elbow River Stanley Park,SUR_ER-SP,2022-07-12 08:15:00,E.coli,15.8,MPN/100mL,,51.018486,-114.070146
Bow River Policemans Flats,SUR_BR-PF,2022-07-12 08:51:00,pH,8.2,pH units,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-07-12 08:51:00,Water Temperature (Field),13.7,°C,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-07-12 08:51:00,Dissolved Oxygen (Field),9.46,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-07-12 08:51:00,Nitrate (NO3-N),0.328,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-07-12 08:51:00,Turbidity,6.2,NTU,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-07-12 08:51:00,E.coli,19.9,MPN/100mL,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-07-12 08:51:00,Total Phosphorus (TP),0.019,mg/L,,50.841969,-113.951134
Bow River Upstream of Highwood River,SUR_BR-HR,2022-07-12 09:28:00,Nitrate (NO3-N),0.394,mg/L,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-07-12 09:28:00,Dissolved Oxygen (Field),9.61,mg/L,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-07-12 09:28:00,Water Temperature (Field),13.9,°C,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-07-12 09:28:00,pH,8.2,pH units,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-07-12 09:28:00,Total Phosphorus (TP),0.02,mg/L,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-07-12 09:28:00,E.coli,18.3,MPN/100mL,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-07-12 09:28:00,Turbidity,6.0,NTU,,50.81972,-113.79556
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-07-13 09:23:00,Nitrate (NO3-N),0.083,mg/L,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-07-13 09:23:00,Water Temperature (Field),14.0,°C,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-07-13 09:23:00,Turbidity,5.9,NTU,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-07-13 09:23:00,Dissolved Oxygen (Field),10.18,mg/L,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-07-13 09:23:00,E.coli,6.3,MPN/100mL,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-07-13 09:23:00,pH,8.3,pH units,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-07-13 09:23:00,Total Phosphorus (TP),0.008,mg/L,,51.100403,-114.270774
Bow River Pumphouse,SUR_BR-PH,2022-07-13 09:51:00,Total Phosphorus (TP),0.008,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-07-13 09:51:00,E.coli,6.3,MPN/100mL,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-07-13 09:51:00,Water Temperature (Field),14.7,°C,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-07-13 09:51:00,Dissolved Oxygen (Field),9.76,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-07-13 09:51:00,pH,8.4,pH units,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-07-13 09:51:00,Nitrate (NO3-N),0.085,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-07-13 09:51:00,Turbidity,5.5,NTU,,51.04665,-114.114456
Bow River Higgins Bridge,SUR_BR-HB,2022-07-13 10:33:00,E.coli,11.0,MPN/100mL,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-07-13 10:33:00,Dissolved Oxygen (Field),10.11,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-07-13 10:33:00,Turbidity,4.9,NTU,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-07-13 10:33:00,pH,8.4,pH units,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-07-13 10:33:00,Water Temperature (Field),14.6,°C,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-07-13 10:33:00,Nitrate (NO3-N),0.271,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-07-13 10:33:00,Total Phosphorus (TP),0.016,mg/L,,50.938753,-114.008639
Elbow River Above Bragg Creek,SUR_ER-BC,2022-07-18 09:26:00,E.coli,17.3,MPN/100mL,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-07-18 09:26:00,Total Phosphorus (TP),0.003,mg/L,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-07-18 09:26:00,Turbidity,1.3,NTU,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-07-18 09:26:00,Water Temperature (Field),9.2,°C,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-07-18 09:26:00,Dissolved Oxygen (Field),10.62,mg/L,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-07-18 09:26:00,pH,8.3,pH units,,50.943802,-114.58
Elbow River Above Bragg Creek,SUR_ER-BC,2022-07-18 09:26:00,Nitrate (NO3-N),0.106,mg/L,,50.943802,-114.58
Elbow River Highway 22 Bridge,SUR_ER-22,2022-07-18 09:53:00,Turbidity,2.4,NTU,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-07-18 09:53:00,E.coli,17.3,MPN/100mL,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-07-18 09:53:00,Nitrate (NO3-N),0.095,mg/L,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-07-18 09:53:00,Total Phosphorus (TP),0.005,mg/L,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-07-18 09:53:00,pH,8.3,pH units,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-07-18 09:53:00,Water Temperature (Field),10.9,°C,,51.032926,-114.465745
Elbow River Highway 22 Bridge,SUR_ER-22,2022-07-18 09:53:00,Dissolved Oxygen (Field),9.86,mg/L,,51.032926,-114.465745
Elbow River Twin Bridges,SUR_ER-TB,2022-07-18 10:23:00,Nitrate (NO3-N),0.097,mg/L,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-07-18 10:23:00,Water Temperature (Field),12.4,°C,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-07-18 10:23:00,Dissolved Oxygen (Field),9.26,mg/L,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-07-18 10:23:00,pH,8.2,pH units,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-07-18 10:23:00,E.coli,39.9,MPN/100mL,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-07-18 10:23:00,Total Phosphorus (TP),0.011,mg/L,,51.01358,-114.23731
Elbow River Twin Bridges,SUR_ER-TB,2022-07-18 10:23:00,Turbidity,7.8,NTU,,51.01358,-114.23731
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-07-19 09:28:00,Water Temperature (Field),13.4,°C,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-07-19 09:28:00,Dissolved Oxygen (Field),7.99,mg/L,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-07-19 09:28:00,pH,8.2,pH units,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-07-19 09:28:00,Total Phosphorus (TP),0.008,mg/L,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-07-19 09:28:00,E.coli,50.4,MPN/100mL,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-07-19 09:28:00,Turbidity,6.9,NTU,,50.991517,-114.146769
Elbow River Weaselhead Foot Bridge,SUR_ER-WFB,2022-07-19 09:28:00,Nitrate (NO3-N),0.089,mg/L,,50.991517,-114.146769
Elbow River Sandy Beach,SUR_ER-SYB,2022-07-19 10:12:00,Total Phosphorus (TP),0.005,mg/L,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-07-19 10:12:00,Turbidity,1.6,NTU,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-07-19 10:12:00,E.coli,2.0,MPN/100mL,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-07-19 10:12:00,Nitrate (NO3-N),0.083,mg/L,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-07-19 10:12:00,pH,8.4,pH units,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-07-19 10:12:00,Water Temperature (Field),17.8,°C,,51.010237,-114.088008
Elbow River Sandy Beach,SUR_ER-SYB,2022-07-19 10:12:00,Dissolved Oxygen (Field),8.99,mg/L,,51.010237,-114.088008
Elbow River Stanley Park,SUR_ER-SP,2022-07-19 10:50:00,Dissolved Oxygen (Field),9.08,mg/L,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-07-19 10:50:00,Water Temperature (Field),18.2,°C,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-07-19 10:50:00,Total Phosphorus (TP),0.005,mg/L,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-07-19 10:50:00,E.coli,28.5,MPN/100mL,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-07-19 10:50:00,Turbidity,1.8,NTU,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-07-19 10:50:00,pH,8.4,pH units,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-07-19 10:50:00,Nitrate (NO3-N),0.091,mg/L,,51.018486,-114.070146
Elbow River 9th Ave Bridge,SUR_ER-9,2022-07-19 11:22:00,Dissolved Oxygen (Field),8.83,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-07-19 11:22:00,Water Temperature (Field),17.7,°C,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-07-19 11:22:00,Total Phosphorus (TP),0.008,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-07-19 11:22:00,Turbidity,2.6,NTU,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-07-19 11:22:00,pH,8.4,pH units,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-07-19 11:22:00,Nitrate (NO3-N),0.127,mg/L,,51.044635,-114.042189
Elbow River 9th Ave Bridge,SUR_ER-9,2022-07-19 11:22:00,E.coli,44.1,MPN/100mL,,51.044635,-114.042189
Elbow River Stanley Park,SUR_ER-SP,2022-07-26 11:59:00,E.coli,31.5,MPN/100mL,,51.018486,-114.070146
Elbow River Stanley Park,SUR_ER-SP,2022-08-02 10:30:00,E.coli,209.8,MPN/100mL,,51.018486,-114.070146
Bow River Below Ghost Dam,SUR_BR-GD,2022-08-08 11:08:00,Total Phosphorus (TP),0.006,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-08-08 11:08:00,pH,8.3,pH units,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-08-08 11:08:00,Nitrate (NO3-N),0.071,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-08-08 11:08:00,E.coli,3.1,MPN/100mL,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-08-08 11:08:00,Water Temperature (Field),14.7,°C,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-08-08 11:08:00,Dissolved Oxygen (Field),9.12,mg/L,,51.22053,-114.70511
Bow River Below Ghost Dam,SUR_BR-GD,2022-08-08 11:08:00,Turbidity,2.5,NTU,,51.22053,-114.70511
Bow River Highway 22 Bridge,SUR_BR-22,2022-08-08 11:52:00,Dissolved Oxygen (Field),9.15,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-08-08 11:52:00,Water Temperature (Field),16.1,°C,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-08-08 11:52:00,Turbidity,2.0,NTU,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-08-08 11:52:00,Total Phosphorus (TP),0.004,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-08-08 11:52:00,E.coli,8.5,MPN/100mL,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-08-08 11:52:00,Nitrate (NO3-N),0.08,mg/L,,51.18297,-114.48733
Bow River Highway 22 Bridge,SUR_BR-22,2022-08-08 11:52:00,pH,8.4,pH units,,51.18297,-114.48733
Bow River Cushing Bridge,SUR_BR-CB,2022-08-09 08:25:00,Turbidity,1.5,NTU,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-08-09 08:25:00,E.coli,31.7,MPN/100mL,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-08-09 08:25:00,Total Phosphorus (TP),0.005,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-08-09 08:25:00,pH,8.4,pH units,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-08-09 08:25:00,Dissolved Oxygen (Field),8.07,mg/L,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-08-09 08:25:00,Water Temperature (Field),16.3,°C,,51.03857,-114.012943
Bow River Cushing Bridge,SUR_BR-CB,2022-08-09 08:25:00,Nitrate (NO3-N),0.069,mg/L,,51.03857,-114.012943
Bow River Policemans Flats,SUR_BR-PF,2022-08-09 09:08:00,Dissolved Oxygen (Field),7.87,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-08-09 09:08:00,Water Temperature (Field),16.7,°C,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-08-09 09:08:00,Turbidity,2.2,NTU,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-08-09 09:08:00,Nitrate (NO3-N),0.557,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-08-09 09:08:00,pH,8.2,pH units,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-08-09 09:08:00,Total Phosphorus (TP),0.021,mg/L,,50.841969,-113.951134
Bow River Policemans Flats,SUR_BR-PF,2022-08-09 09:08:00,E.coli,57.3,MPN/100mL,,50.841969,-113.951134
Elbow River Stanley Park,SUR_ER-SP,2022-08-09 09:28:00,E.coli,71.7,MPN/100mL,,51.018486,-114.070146
Bow River Upstream of Highwood River,SUR_BR-HR,2022-08-09 09:42:00,Nitrate (NO3-N),0.61,mg/L,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-08-09 09:42:00,Water Temperature (Field),17.7,°C,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-08-09 09:42:00,Dissolved Oxygen (Field),7.89,mg/L,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-08-09 09:42:00,pH,8.4,pH units,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-08-09 09:42:00,Total Phosphorus (TP),0.018,mg/L,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-08-09 09:42:00,E.coli,30.1,MPN/100mL,,50.81972,-113.79556
Bow River Upstream of Highwood River,SUR_BR-HR,2022-08-09 09:42:00,Turbidity,2.3,NTU,,50.81972,-113.79556
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-08-10 09:06:00,E.coli,5.2,MPN/100mL,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-08-10 09:06:00,Total Phosphorus (TP),0.004,mg/L,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-08-10 09:06:00,pH,8.4,pH units,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-08-10 09:06:00,Turbidity,1.6,NTU,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-08-10 09:06:00,Water Temperature (Field),17.0,°C,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-08-10 09:06:00,Dissolved Oxygen (Field),9.26,mg/L,,51.100403,-114.270774
Bow River Below Bearspaw Dam,SUR_BR-BD,2022-08-10 09:06:00,Nitrate (NO3-N),0.063,mg/L,,51.100403,-114.270774
Bow River Pumphouse,SUR_BR-PH,2022-08-10 09:40:00,Turbidity,1.6,NTU,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-08-10 09:40:00,E.coli,7.5,MPN/100mL,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-08-10 09:40:00,Total Phosphorus (TP),0.004,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-08-10 09:40:00,pH,8.4,pH units,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-08-10 09:40:00,Dissolved Oxygen (Field),8.98,mg/L,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-08-10 09:40:00,Water Temperature (Field),16.6,°C,,51.04665,-114.114456
Bow River Pumphouse,SUR_BR-PH,2022-08-10 09:40:00,Nitrate (NO3-N),0.065,mg/L,,51.04665,-114.114456
Bow River Higgins Bridge,SUR_BR-HB,2022-08-10 10:12:00,Nitrate (NO3-N),0.379,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-08-10 10:12:00,Dissolved Oxygen (Field),8.69,mg/L,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-08-10 10:12:00,Water Temperature (Field),16.3,°C,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-08-10 10:12:00,E.coli,42.6,MPN/100mL,,50.938753,-114.008639
Bow River Higgins Bridge,SUR_BR-HB,2022-08-10 10:12:00,Turbidity,1.8,NTU,,50.938753,-114.008639
