timestamp,pool_price_cad_per_mwh,ail_mw,wind_mw
2024-10-09 14:00:00,27.66,9978,681.0531907
2024-10-09 15:00:00,36.89,9999,699.4677366
2024-10-09 16:00:00,33.3,10056,739.4268484
2024-10-09 17:00:00,347.09,9987,708.4940823
2024-10-09 18:00:00,144.39,9938,714.8881654999999
2024-10-09 19:00:00,236.32,10010,855.0492810999999
2024-10-09 20:00:00,39.93,10028,971.8715605
2024-10-09 21:00:00,35.86,9921,1223.3942200000004
2024-10-09 22:00:00,33.94,9711,1306.5998174999997
2024-10-09 23:00:00,28.63,9434,1330.4689342000001
2024-10-10 00:00:00,33.61,9214,1371.9571691999997
2024-10-10 01:00:00,24.23,9089,1576.8367501999996
2024-10-10 02:00:00,27.41,9051,1467.6065000000006
2024-10-10 03:00:00,25.51,9056,1471.3630012999997
2024-10-10 04:00:00,25.15,9119,1516.819178
2024-10-10 05:00:00,21.87,9311,1769.2150174999997
2024-10-10 06:00:00,23.29,9687,1536.2767546999996
2024-10-10 07:00:00,44.47,10128,1233.677041
2024-10-10 08:00:00,120.94,10147,1057.3066258000001
2024-10-10 09:00:00,65.11,10132,732.4750650000002
2024-10-10 10:00:00,65.55,10173,337.5246667
2024-10-10 11:00:00,107.33,10151,175.7449584
2024-10-10 12:00:00,43.25,10083,183.5831903
2024-10-10 13:00:00,27.96,10116,258.3028825
2024-10-10 14:00:00,26.8,10124,284.86960000000005
2024-10-10 15:00:00,26.24,10107,311.7672800000001
2024-10-10 16:00:00,66.44,10129,310.0925609
2024-10-10 17:00:00,299.2,10053,279.77857040000004
2024-10-10 18:00:00,391.19,9882,308.42926019999993
2024-10-10 19:00:00,149.38,9999,408.1570494000001
2024-10-10 20:00:00,145.25,9936,380.4514034999999
2024-10-10 21:00:00,74.59,9762,384.8888894999999
2024-10-10 22:00:00,83.4,9522,396.97678349999995
2024-10-10 23:00:00,112.4,9267,428.5094687999999
2024-10-11 00:00:00,43.32,9101,462.42717260000006
2024-10-11 01:00:00,41.85,9066,518.6212511
2024-10-11 02:00:00,37.91,8990,649.4384691
2024-10-11 03:00:00,35.78,9052,895.6053323
2024-10-11 04:00:00,27.82,9075,1181.2867808
2024-10-11 05:00:00,25.64,9258,1625.2690181999997
2024-10-11 06:00:00,21.32,9651,2034.8171527000002
2024-10-11 07:00:00,23.68,10052,2138.2483282
2024-10-11 08:00:00,18.82,10224,2334.8417648
2024-10-11 09:00:00,22.78,10255,1957.3472087999999
2024-10-11 10:00:00,21.3,10297,1579.8658622
2024-10-11 11:00:00,23.17,10284,1397.3910664999999
2024-10-11 12:00:00,21.35,10246,1363.7607885000002
2024-10-11 13:00:00,24.41,10144,1169.2839698999996
2024-10-11 14:00:00,26.11,10055,937.0126393
2024-10-11 15:00:00,39.83,10011,650.7927609999997
2024-10-11 16:00:00,107.45,9958,478.2844718999999
2024-10-11 17:00:00,48.99,9947,661.1829131999999
2024-10-11 18:00:00,38.12,9988,1057.8439878
2024-10-11 19:00:00,38.72,10080,1359.4274959
2024-10-11 20:00:00,42.85,10042,1393.2274391
2024-10-11 21:00:00,73.45,9925,1252.3085896000002
2024-10-11 22:00:00,82.69,9755,1077.9841194
2024-10-11 23:00:00,88.63,9540,819.9117197
2024-10-12 00:00:00,162.58,9288,665.0606597999998
2024-10-12 01:00:00,103.56,9181,637.0210708000001
2024-10-12 02:00:00,43.82,9106,593.7264036
2024-10-12 03:00:00,74.21,9112,480.92039560000006
2024-10-12 04:00:00,165.25,9094,378.99168259999993
2024-10-12 05:00:00,171.16,9079,296.55796190000007
2024-10-12 06:00:00,87.9,9252,232.11179049999998
2024-10-12 07:00:00,112.21,9526,183.0482438
2024-10-12 08:00:00,165.84,9600,115.6541
2024-10-12 09:00:00,69.1,9745,99.0586
2024-10-12 10:00:00,59.67,9833,69.1563
2024-10-12 11:00:00,76.47,9765,40.583099999999995
2024-10-12 12:00:00,69.64,9703,40.138469
2024-10-12 13:00:00,42.94,9758,79.8512265
2024-10-12 14:00:00,38.06,9740,145.14591430000002
2024-10-12 15:00:00,39.07,9752,271.24810279999997
2024-10-12 16:00:00,80.79,9779,324.91211699999997
2024-10-12 17:00:00,115.18,9789,394.8348886
2024-10-12 18:00:00,148.18,9717,554.7926435999999
2024-10-12 19:00:00,90.08,9887,739.8112812000002
2024-10-12 20:00:00,138.85,9854,755.0843941000002
2024-10-12 21:00:00,40.32,9775,800.3462646000003
2024-10-12 22:00:00,32.45,9620,883.5297274
2024-10-12 23:00:00,34.23,9456,1186.6110503999998
2024-10-13 00:00:00,29.14,9280,1558.2779338
2024-10-13 01:00:00,22.44,9186,2009.5635543000003
2024-10-13 02:00:00,21.79,9153,2255.6241462
2024-10-13 03:00:00,20.64,9172,2480.1437815
2024-10-13 04:00:00,16.51,9179,2595.2048607999996
2024-10-13 05:00:00,12.45,9232,2746.9120763
2024-10-13 06:00:00,1.04,9334,2975.2038994000004
2024-10-13 07:00:00,7.7,9530,2944.9403131999998
2024-10-13 08:00:00,11.31,9612,2880.0265544999993
2024-10-13 09:00:00,3.73,9846,2504.860894199999
2024-10-13 10:00:00,0.0,9905,2371.4277333000005
2024-10-13 11:00:00,0.0,9904,2437.287432300001
2024-10-13 12:00:00,0.0,9873,2583.7607072000005
2024-10-13 13:00:00,0.0,9871,2554.1020546000004
2024-10-13 14:00:00,6.18,9861,2404.8800241
2024-10-13 15:00:00,19.37,9894,2182.7290894000007
2024-10-13 16:00:00,20.1,9949,2244.6700224
