YEAR,FIRE_NUMBER,FIRE_NAME,CURRENT_SIZE,SIZE_CLASS,LATITUDE,LONGITUDE,GENERAL_CAUSE,FIRE_START_DATE,DISPATCHED_RESOURCE,ASSESSMENT_HECTARES,FIRE_SPREAD_RATE,FIRE_TYPE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_SPEED,FUEL_TYPE,INITIAL_ACTION_BY
2023,GWF047,,0.5,B,55.715467,-119.035433,Lightning,2023-07-03 17:19,HAC,0.5,0.1,Ground,18.0,60.0,10.0,,Fire Department
2023,LWF132,,0.45,B,54.91325,-111.938383,Power Line Industry,2023-05-22 17:30,HAC,0.75,20.0,Surface,17.0,63.0,30.0,O1a,HAC
2023,RWF026,,0.4,B,53.102417,-115.68055,Lightning,2023-05-03 18:54,FPD Staff,0.4,4.0,Surface,15.0,28.0,2.0,M1,FPD Staff
2023,HWF060,,0.39,B,58.11,-119.783167,Lightning,2023-06-07 12:30,HAC,0.1,1.0,Surface,17.0,35.0,7.0,C1,FPD Staff
2023,PWF144,,0.38,B,56.6122,-117.0784,Recreation,2023-10-18 19:00,HAC,0.01,0.0,Surface,19.0,28.0,2.0,C2,HAC
2023,PWF101,,0.34,B,56.721133,-117.794233,Lightning,2023-07-01 12:00,HAC,0.4,0.0,Surface,21.0,64.0,0.0,C1,FPD Staff
2023,SWF038,,0.32,B,55.624083,-116.333033,Resident,2023-01-05 12:00,HAC,0.1,1.0,Surface,17.0,18.0,5.0,D1,HAC
2023,MWF015,,0.3,B,57.0745,-111.589033,Undetermined,2023-05-15 15:50,HAC,0.4,2.0,Surface,30.7,27.0,3.0,M2,Industry
2023,MWF016,,0.3,B,56.448267,-111.29535,Power Line Industry,2023-05-16 15:15,HAC,1.0,2.0,Surface,15.5,48.0,4.0,M1,HAC
2023,LWF141,,0.3,B,55.110833,-113.189167,Lightning,2023-05-30 12:00,HAC,0.1,2.0,Surface,18.0,28.0,15.0,C2,HAC
2023,LWF161,,0.28,B,54.926417,-112.119517,Power Line Industry,2023-06-29 12:27,HAC,0.5,1.0,Surface,27.5,56.0,2.0,O1b,HAC
2023,PWF070,,0.28,B,57.274167,-117.018833,Lightning,2023-06-24 17:00,HAC,0.2,1.0,Surface,21.0,63.0,6.0,C3,HAC
2023,EWF012,,0.26,B,53.5853,-115.034167,Resident,2022-04-22 11:00,HAC,0.26,0.0,Surface,9.0,50.0,4.0,O1a,Fire Department
2023,PWF005,,0.2,B,56.875583,-118.20445,Forest Industry,2023-01-01 12:00,HAC,0.2,0.0,Surface,6.0,45.0,7.0,S1,Industry
2023,LWF086,,0.2,B,55.264917,-113.229217,Incendiary,2023-05-04 5:25,HAC,0.2,0.0,Surface,8.0,30.0,5.0,O1a,HAC
2023,HWF001,,0.2,B,57.817939,-116.655138,Recreation,2023-01-16 8:00,FPD Staff,0.2,0.0,Ground,-5.0,50.0,15.0,M1,FPD Staff
2023,SWF065,,0.2,B,56.0015,-114.899667,Lightning,2023-05-03 23:00,UNIT,0.2,0.0,Surface,28.0,22.0,30.0,C2,UNIT
2023,PWF012,,0.2,B,56.259067,-118.216083,Resident,2023-04-09 12:00,HAC,0.01,1.0,Surface,7.0,40.0,21.0,,HAC
2023,GWF072,,0.2,B,55.0674,-116.9169,Agriculture Industry,2023-09-06 13:00,HAC,0.2,0.0,Surface,22.0,35.0,25.0,M1,Fire Department
2023,LWF127,,0.18,B,55.79748,-110.861778,Incendiary,2023-05-19 16:00,HAC,0.1,1.0,Surface,21.0,49.0,12.0,O1a,HAC
2023,EWF048,,0.14,B,53.2487,-115.503717,Undetermined,2023-05-16 10:00,HAC,0.14,0.0,Surface,20.6,21.0,11.0,M2,Industry
2023,LWF183,,0.13,B,54.895783,-112.08425,Resident,2023-10-06 13:35,FPD Staff,0.13,0.0,Surface,10.0,50.0,5.0,O1b,Land Owner
2023,SWF024,,0.1,A,55.37415,-115.72755,Incendiary,2023-04-25 21:30,HAC,0.1,0.0,Surface,7.9,29.0,10.0,O1a,FTAC
2023,SWF011,,0.1,A,55.329377,-116.874908,Undetermined,2023-04-16 20:30,HAC,0.1,0.0,Ground,10.0,50.0,0.0,O1a,Fire Department
2023,GWF055,,0.1,A,54.298167,-118.806283,Lightning,2023-07-30 15:06,HAC,0.1,2.0,Crown,19.0,75.0,3.0,C2,HAC
2023,PWF018,,0.1,A,56.40965,-119.27525,Resident,2023-04-29 13:20,HAC,0.1,1.0,Surface,18.0,28.0,19.0,,UNIT
2023,RWF057,,0.1,A,52.732133,-115.870117,Lightning,2023-06-13 16:55,HAC,0.1,0.0,Ground,22.0,48.0,0.0,C2,HAC
2023,LWF051, ,0.1,A,55.925333,-110.7258,Incendiary,2023-04-26 15:30,FTAC,0.1,1.0,Surface,8.0,30.0,5.0,O1b,FTAC
2023,EWF071,,0.1,A,53.376108,-117.731935,Resident,2023-06-17 19:05,FPD Staff,0.1,0.0,Surface,14.0,50.0,15.0,,Land Owner
