service_request_id,requested_date,updated_date,closed_date,status_description,service_name,comm_name,address,longitude,latitude
26-00631227,2026-08-19,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00631289,2026-08-19,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,BANKVIEW,,-114.10048318979052,51.03412752814332
26-00631314,2026-08-19,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,TARADALE,,-113.934002077972,51.11794016367547
26-00631207,2026-08-19,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,COACH HILL,,-114.1829796051888,51.05838582571806
26-00631217,2026-08-19,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,APPLEWOOD PARK,,-113.9277970051382,51.04487898168024
26-00618617,2026-08-16,2026-08-26T00:00:00.000,2026-08-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,ALBERT PARK/RADISSON HEIGHTS,,-113.99677793526727,51.044532953156086
26-00579969,2026-08-02,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,MCKENZIE LAKE,,-113.9881871837774,50.91486638419278
26-00578370,2026-07-31,2026-08-01T00:00:00.000,2026-08-01T00:00:00.000,Closed,Roads - Streetlight Maintenance,LAKEVIEW,,-114.12962139244752,50.99957240901119
26-00575810,2026-07-31,2026-07-31T00:00:00.000,2026-07-31T00:00:00.000,Closed,Roads - Streetlight Maintenance,COVENTRY HILLS,,-114.05313423182986,51.1649280689084
26-00575184,2026-07-30,2026-07-30T00:00:00.000,2026-07-30T00:00:00.000,Closed,Roads - Streetlight Maintenance,GLENBROOK,,-114.152694837935,51.02419405304613
26-00569093,2026-07-29,2026-07-29T00:00:00.000,2026-07-29T00:00:00.000,Closed,Roads - Streetlight Maintenance,FAIRVIEW,,-114.0603609439821,50.98538212195565
26-00571582,2026-07-29,2026-07-29T00:00:00.000,2026-07-29T00:00:00.000,Closed,Roads - Streetlight Maintenance,FALCONRIDGE,,-113.9453399517932,51.10334979618069
26-00570873,2026-07-29,2026-07-29T00:00:00.000,2026-07-29T00:00:00.000,Closed,Roads - Streetlight Damage,RED CARPET,,-113.93892582459968,51.04258062721205
26-00566568,2026-07-28,2026-07-28T00:00:00.000,2026-07-28T00:00:00.000,Closed,Roads - Streetlight Maintenance,COVENTRY HILLS,,-114.05313423182986,51.1649280689084
26-00564057,2026-07-28,2026-07-28T00:00:00.000,2026-07-28T00:00:00.000,Closed,Roads - Streetlight Damage,DALHOUSIE,,-114.15815535928552,51.10940993799306
26-00564420,2026-07-28,2026-07-28T00:00:00.000,2026-07-28T00:00:00.000,Closed,Roads - Streetlight Maintenance,SOMERSET,,-114.08137551622823,50.89890417703828
26-00566938,2026-07-28,2026-07-28T00:00:00.000,2026-07-28T00:00:00.000,Closed,Roads - Streetlight Maintenance,ALTADORE,,-114.10078239468643,51.015954118930864
26-00564656,2026-07-28,2026-07-28T00:00:00.000,2026-07-28T00:00:00.000,Closed,Roads - Streetlight Maintenance,SCENIC ACRES,,-114.21734033796923,51.11270738649579
26-00560351,2026-07-27,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Damage,GREAT PLAINS,,-113.93993701561716,50.98689494739356
26-00562106,2026-07-27,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,COVENTRY HILLS,,-114.05313423182986,51.1649280689084
26-00562600,2026-07-27,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,DEER RIDGE,,-114.02023404987304,50.92657386979402
26-00562858,2026-07-27,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Damage,DOVER,,-113.99305400906276,51.02256772313628
26-00561317,2026-07-27,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,CANYON MEADOWS,,-114.0820063458848,50.94095720926748
26-00560377,2026-07-27,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Damage,EAST SHEPARD INDUSTRIAL,,-113.95096996432171,50.9513098380589
26-00560298,2026-07-27,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,EAST FAIRVIEW INDUSTRIAL,,-114.03863977769733,50.98403287999368
26-00562873,2026-07-27,2026-08-27T00:00:00.000,2026-08-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,CANYON MEADOWS,,-114.0820063458848,50.94095720926748
26-00562366,2026-07-27,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Maintenance,LAKE BONAVISTA,,-114.0512955606845,50.939598998272274
26-00559351,2026-07-26,2026-07-26T00:00:00.000,2026-07-26T00:00:00.000,Closed,Roads - Streetlight Damage,BRIDGELAND/RIVERSIDE,,-114.03507983816613,51.05055069499901
26-00558941,2026-07-26,2026-07-26T00:00:00.000,2026-07-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00559559,2026-07-26,2026-07-26T00:00:00.000,2026-07-26T00:00:00.000,Closed,Roads - Streetlight Damage,SOUTHWOOD,,-114.08319427981304,50.957758808343314
26-00559749,2026-07-26,2026-07-26T00:00:00.000,2026-07-26T00:00:00.000,Closed,Roads - Streetlight Damage,FAIRVIEW,,-114.0603609439821,50.98538212195565
26-00559681,2026-07-26,2026-07-26T00:00:00.000,2026-07-26T00:00:00.000,Closed,Roads - Streetlight Maintenance,CHAPARRAL,,-114.02566896242004,50.88467311348729
26-00560162,2026-07-26,2026-07-26T00:00:00.000,2026-07-26T00:00:00.000,Closed,Roads - Streetlight Damage,PARKDALE,,-114.13533325689389,51.05994755127784
26-00559766,2026-07-26,2026-07-26T00:00:00.000,2026-07-26T00:00:00.000,Closed,Roads - Streetlight Damage,ACADIA,,-114.05369601618196,50.972415073979406
26-00557403,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00557414,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,CRESCENT HEIGHTS,,-114.06164731813936,51.05950171589272
26-00558879,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,CRESCENT HEIGHTS,,-114.06164731813936,51.05950171589272
26-00557413,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,CRESCENT HEIGHTS,,-114.06164731813936,51.05950171589272
26-00558848,2026-07-25,2026-07-27T00:00:00.000,2026-07-27T00:00:00.000,Closed,Roads - Streetlight Damage,CORAL SPRINGS,,-113.92694858499824,51.10334785100925
26-00558845,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Damage,CORAL SPRINGS,,-113.92694858499824,51.10334785100925
26-00558605,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,DOVER,,-113.99305400906276,51.02256772313628
26-00558887,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,MARLBOROUGH PARK,,-113.9467026472926,51.05969024495796
26-00558873,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,MONTEREY PARK,,-113.9268336359381,51.08155699522564
26-00558891,2026-07-25,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,YORKVILLE,,-114.08232478981768,50.87035139693807
26-00555816,2026-07-24,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,DEER RIDGE,,-114.02023404987304,50.92657386979402
26-00556348,2026-07-24,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Damage,BRITANNIA,,-114.08627738153773,51.01264400443256
26-00554246,2026-07-24,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00554218,2026-07-24,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Damage,HUNTINGTON HILLS,,-114.06670855606806,51.11758074861446
26-00554248,2026-07-24,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,CANYON MEADOWS,,-114.0820063458848,50.94095720926748
26-00556853,2026-07-24,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Damage,SOUTHWOOD,,-114.08319427981304,50.957758808343314
26-00553059,2026-07-23,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,Closed,Roads - Streetlight Maintenance,MOUNT PLEASANT,,-114.07602998447167,51.074237909055896
26-00550600,2026-07-23,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,Closed,Roads - Streetlight Maintenance,COACH HILL,,-114.1829796051888,51.05838582571806
26-00550616,2026-07-23,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,Closed,Roads - Streetlight Maintenance,FAIRVIEW,,-114.0603609439821,50.98538212195565
26-00552561,2026-07-23,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,Closed,Roads - Streetlight Maintenance,MARLBOROUGH,,-113.96997429032228,51.05954612270691
26-00552001,2026-07-23,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,Closed,Roads - Streetlight Damage,13E,,-114.19818331653286,50.89939178657767
26-00552901,2026-07-23,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,Closed,Roads - Streetlight Maintenance,MCKENZIE TOWNE,,-113.96135301049588,50.91714876195852
26-00554183,2026-07-23,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,OAKRIDGE,,-114.12961404738668,50.969662799426914
26-00553780,2026-07-23,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,OAKRIDGE,,-114.12961404738668,50.969662799426914
26-00554216,2026-07-23,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Damage,PENBROOKE MEADOWS,,-113.947687206113,51.04585328827213
26-00554217,2026-07-23,2026-07-24T00:00:00.000,2026-07-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,EAST FAIRVIEW INDUSTRIAL,,-114.03863977769733,50.98403287999368
26-00547647,2026-07-22,2026-07-22T00:00:00.000,2026-07-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,COLLINGWOOD,,-114.10240362227502,51.08350990629627
26-00550570,2026-07-22,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,Closed,Roads - Streetlight Maintenance,SADDLE RIDGE,,-113.94562252266888,51.13057324276626
