readingdate,station_name,parameter,value,units,latitude,longitude
2025-09-16T15:00:00.000,Calgary Southeast,Fine Particulate Matter,14.7,μg/m3,50.955122,-113.969742
2025-09-15T19:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T14:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,22.0,μg/m3,51.030789,-114.008836
2025-09-15T11:00:00.000,Calgary Southeast,Fine Particulate Matter,24.3,μg/m3,50.955122,-113.969742
2025-09-16T09:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-09-16T07:00:00.000,Calgary Varsity,Fine Particulate Matter,21.0,μg/m3,51.08272,-114.138994
2025-09-16T18:00:00.000,Calgary Varsity,Air Quality Health Index,4.0,,51.08272,-114.138994
2025-09-16T18:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T23:00:00.000,Calgary Southeast,Fine Particulate Matter,25.9,μg/m3,50.955122,-113.969742
2025-09-15T09:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
