readingdate,station_name,parameter,value,units,latitude,longitude
2025-09-15T06:00:00.000,Calgary Southeast,Fine Particulate Matter,15.0,μg/m3,50.955122,-113.969742
2025-09-16T05:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-16T09:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,24.3,μg/m3,51.030789,-114.008836
2025-09-15T21:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-16T17:00:00.000,Calgary Southeast,Fine Particulate Matter,15.4,μg/m3,50.955122,-113.969742
2025-09-16T03:00:00.000,Calgary Southeast,Fine Particulate Matter,23.0,μg/m3,50.955122,-113.969742
2025-09-16T08:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-09-16T17:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T16:00:00.000,Calgary Southeast,Fine Particulate Matter,24.8,μg/m3,50.955122,-113.969742
2025-09-15T12:00:00.000,Calgary Varsity,Fine Particulate Matter,24.4,μg/m3,51.08272,-114.138994
2025-09-16T17:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,16.5,μg/m3,51.030789,-114.008836
2025-09-16T05:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-09-15T07:00:00.000,Calgary Varsity,Fine Particulate Matter,14.3,μg/m3,51.08272,-114.138994
2025-09-16T03:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-09-15T08:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T01:00:00.000,Calgary Varsity,Fine Particulate Matter,22.0,μg/m3,51.08272,-114.138994
2025-09-16T05:00:00.000,Calgary Varsity,Fine Particulate Matter,21.4,μg/m3,51.08272,-114.138994
2025-09-15T02:00:00.000,Calgary Varsity,Fine Particulate Matter,16.4,μg/m3,51.08272,-114.138994
2025-09-15T21:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,24.6,μg/m3,51.030789,-114.008836
2025-09-15T02:00:00.000,Calgary Southeast,Fine Particulate Matter,16.8,μg/m3,50.955122,-113.969742
2025-09-15T17:00:00.000,Calgary Varsity,Fine Particulate Matter,21.1,μg/m3,51.08272,-114.138994
2025-09-15T01:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T18:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T17:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T05:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-09-15T06:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,15.7,μg/m3,51.030789,-114.008836
2025-09-16T16:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T10:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-09-16T04:00:00.000,Calgary Southeast,Fine Particulate Matter,22.5,μg/m3,50.955122,-113.969742
2025-09-16T11:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-16T16:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,16.3,μg/m3,51.030789,-114.008836
2025-09-16T01:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-15T00:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,15.7,μg/m3,51.030789,-114.008836
2025-09-16T14:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-16T00:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T04:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T01:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,26.3,μg/m3,51.030789,-114.008836
2025-09-16T12:00:00.000,Calgary Southeast,Fine Particulate Matter,20.5,μg/m3,50.955122,-113.969742
2025-09-15T13:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T22:00:00.000,Calgary Varsity,Fine Particulate Matter,24.7,μg/m3,51.08272,-114.138994
2025-09-15T01:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,16.4,μg/m3,51.030789,-114.008836
2025-09-15T03:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
